,quartervalue,avgkw
177,8/14/2018 4:30,156.32507
178,8/14/2018 4:45,155.58708
179,8/14/2018 5:00,157.67741
180,8/14/2018 5:15,160.78322
181,8/14/2018 5:30,158.13843
182,8/14/2018 5:45,155.50462
183,8/14/2018 6:00,156.12962
184,8/14/2018 6:15,158.3311
185,8/14/2018 6:30,157.55486
186,8/14/2018 6:45,156.6506
187,7/24/2018 7:00,157.47615
188,7/24/2018 7:15,162.53041
189,7/24/2018 7:30,161.51419
190,7/24/2018 7:45,155.97528
191,7/24/2018 8:00,157.91086
192,7/24/2018 8:15,158.7747
193,7/24/2018 8:30,154.69048
194,7/24/2018 8:45,156.9311
195,7/24/2018 9:00,158.67169
196,7/24/2018 9:15,158.61165
197,7/24/2018 9:30,158.92705
198,7/24/2018 9:45,159.14732
199,7/24/2018 10:00,159.26756
200,7/24/2018 10:15,160.33627
201,7/24/2018 10:30,157.7051
202,7/24/2018 10:45,157.43617
203,7/24/2018 11:00,157.0077
204,7/24/2018 11:15,157.46066
205,7/24/2018 11:30,157.53427
206,7/24/2018 11:45,158.22264
207,7/24/2018 12:00,157.78127
208,7/24/2018 12:15,157.53595
209,7/24/2018 12:30,157.85272
210,7/24/2018 12:45,158.60515
211,7/24/2018 13:00,157.06136
212,7/24/2018 13:15,158.6943
213,7/24/2018 13:30,158.43028
214,7/24/2018 13:45,157.99872
215,7/24/2018 14:00,155.66324
216,7/24/2018 14:15,156.67899
217,7/24/2018 14:30,156.53824
218,7/24/2018 14:45,157.73016
219,7/24/2018 15:00,157.50945
220,7/24/2018 15:15,156.62653
221,7/24/2018 15:30,158.13513
222,7/24/2018 15:45,159.84978
223,7/24/2018 16:00,160.83444
224,7/24/2018 16:15,161.81825
225,7/24/2018 16:30,160.96167
226,7/24/2018 16:45,161.141
227,7/24/2018 17:00,162.11058
228,7/24/2018 17:15,161.45189
229,7/24/2018 17:30,161.53133
230,7/24/2018 17:45,160.40932
231,7/24/2018 18:00,159.20569
232,7/24/2018 18:15,157.32599
233,7/24/2018 18:30,159.52563
234,7/24/2018 18:45,162.26344
235,7/24/2018 19:00,162.26506
236,7/24/2018 19:15,162.0918
237,7/24/2018 19:30,161.6692
238,7/24/2018 19:45,161.10081
239,7/24/2018 20:00,160.9322
240,7/24/2018 20:15,158.2644
241,7/24/2018 20:30,160.3203
242,7/24/2018 20:45,161.80928
243,7/24/2018 21:00,160.79114
244,7/24/2018 21:15,158.55025
