avgkw,date
22672,6/10/2018 12:00
22719,6/10/2018 13:00
22741,6/10/2018 14:00
22763,6/10/2018 15:00
22823,6/10/2018 16:00
22915,6/10/2018 17:00
22651,6/10/2018 18:00
22600,6/10/2018 19:00
22296,6/10/2018 20:00
22654,6/10/2018 21:00
23017,6/10/2018 22:00
23050,6/10/2018 23:00
22907,6/11/2018 0:00
22899,6/11/2018 1:00
22637,6/11/2018 2:00
22622,6/11/2018 3:00
22427,6/11/2018 4:00
22566,6/11/2018 5:00
22644,6/11/2018 6:00
22783,6/11/2018 8:00
22867,6/11/2018 9:00
22730,6/11/2018 10:00
22967,6/11/2018 11:00
23122,6/11/2018 12:00
23177,6/11/2018 13:00
23159,6/11/2018 14:00
23411,6/11/2018 15:00
23200,6/11/2018 16:00
23306,6/11/2018 17:00
22959,6/11/2018 18:00
22939,6/11/2018 19:00
22988,6/11/2018 20:00
23283,6/11/2018 21:00
23623,6/11/2018 22:00
23544,6/11/2018 23:00
23440,6/12/2018 0:00
23188,6/12/2018 1:00
22866,6/12/2018 2:00
22856,6/12/2018 3:00
22813,6/12/2018 4:00
22860,6/12/2018 5:00
22942,6/12/2018 6:00
22807,6/12/2018 7:00
23063,6/12/2018 8:00
23100,6/12/2018 9:00
23300,6/12/2018 10:00
23379,6/12/2018 11:00
23077,6/12/2018 12:00
23433,6/12/2018 13:00
23200,6/12/2018 14:00
23201,6/12/2018 15:00
23453,6/12/2018 16:00
23382,6/12/2018 17:00
23073,6/12/2018 18:00
23023,6/12/2018 19:00
23057,6/12/2018 20:00
23202,6/12/2018 21:00
23582,6/12/2018 22:00
23397,6/12/2018 23:00
23497,6/13/2018 0:00
23536,6/13/2018 1:00
23481,6/13/2018 2:00
23485,6/13/2018 3:00
23409,6/13/2018 4:00
23429,6/13/2018 5:00
23072,6/13/2018 6:00
23146,6/13/2018 7:00
23310,6/13/2018 8:00
23330,6/13/2018 9:00
23147,6/13/2018 10:00
23104,6/13/2018 11:00
23200,6/13/2018 12:00
23262,6/13/2018 13:00
23251,6/13/2018 14:00
23393,6/13/2018 15:00
23202,6/13/2018 16:00
23378,6/13/2018 17:00
23180,6/13/2018 18:00
23281,6/13/2018 19:00
22970,6/13/2018 20:00
23148,6/13/2018 21:00
23491,6/13/2018 22:00
23389,6/13/2018 23:00
23472,6/14/2018 0:00
23268,6/14/2018 1:00
23058,6/14/2018 2:00
23042,6/14/2018 3:00
22750,6/14/2018 4:00
22961,6/14/2018 5:00
23043,6/14/2018 6:00
23209,6/14/2018 7:00
23166,6/14/2018 8:00
23371,6/14/2018 9:00
23361,6/14/2018 10:00
23508,6/14/2018 11:00
23417,6/14/2018 12:00
23493,6/14/2018 13:00
23358,6/14/2018 14:00
23311,6/14/2018 15:00
23274,6/14/2018 16:00
23274,6/14/2018 17:00
22982,6/14/2018 18:00
23118,6/14/2018 19:00
23011,6/14/2018 20:00
23033,6/14/2018 21:00
23205,6/14/2018 22:00
23247,6/14/2018 23:00
23147,6/15/2018 0:00
23230,6/15/2018 1:00
22961,6/15/2018 2:00
22945,6/15/2018 3:00
22820,6/15/2018 4:00
22943,6/15/2018 5:00
22934,6/15/2018 6:00
23099,6/15/2018 7:00
22948,6/15/2018 8:00
23186,6/15/2018 9:00
23363,6/15/2018 10:00
23348,6/15/2018 11:00
23182,6/15/2018 12:00
23337,6/15/2018 13:00
23355,6/15/2018 14:00
23375,6/15/2018 15:00
23347,6/15/2018 16:00
23217,6/15/2018 17:00
23090,6/15/2018 18:00
23212,6/15/2018 19:00
23039,6/15/2018 20:00
23192,6/15/2018 21:00
23272,6/15/2018 22:00
23421,6/15/2018 23:00
23421,6/16/2018 0:00
23421,6/16/2018 1:00
23080,6/16/2018 2:00
22977,6/16/2018 3:00
22882,6/16/2018 4:00
23073,6/16/2018 5:00
22870,6/16/2018 6:00
22907,6/16/2018 7:00
22994,6/16/2018 8:00
23334,6/16/2018 9:00
23328,6/16/2018 10:00
23248,6/16/2018 11:00
23475,6/16/2018 12:00
23180,6/16/2018 13:00
23182,6/16/2018 14:00
23292,6/16/2018 15:00
23272,6/16/2018 16:00
23159,6/16/2018 17:00
22886,6/16/2018 18:00
22987,6/16/2018 19:00
22690,6/16/2018 20:00
23405,6/16/2018 21:00
23265,6/16/2018 22:00
23345,6/16/2018 23:00
23254,6/17/2018 0:00
23142,6/17/2018 1:00
23084,6/17/2018 2:00
23061,6/17/2018 3:00
22878,6/17/2018 4:00
23066,6/17/2018 5:00
22807,6/17/2018 6:00
23079,6/17/2018 7:00
23091,6/17/2018 8:00
23217,6/17/2018 9:00
23245,6/17/2018 10:00
23373,6/17/2018 11:00
23334,6/17/2018 12:00
23384,6/17/2018 13:00
23303,6/17/2018 14:00
23370,6/17/2018 15:00
23140,6/17/2018 16:00
23429,6/17/2018 17:00
23056,6/17/2018 18:00
23161,6/17/2018 19:00
23219,6/17/2018 21:00
23451,6/17/2018 22:00
23333,6/17/2018 23:00
23339,6/18/2018 0:00
23330,6/18/2018 1:00
22992,6/18/2018 2:00
23103,6/18/2018 3:00
22953,6/18/2018 4:00
23022,6/18/2018 5:00
22933,6/18/2018 6:00
23153,6/18/2018 7:00
23078,6/18/2018 8:00
23328,6/18/2018 9:00
23188,6/18/2018 10:00
23248,6/18/2018 11:00
23296,6/18/2018 12:00
23276,6/18/2018 13:00
23312,6/18/2018 14:00
23602,6/18/2018 15:00
23381,6/18/2018 16:00
23459,6/18/2018 17:00
23526,6/18/2018 18:00
23173,6/18/2018 19:00
23007,6/18/2018 20:00
23367,6/18/2018 21:00
23527,6/18/2018 22:00
23476,6/18/2018 23:00
23373,6/19/2018 0:00
23344,6/19/2018 1:00
23104,6/19/2018 2:00
23164,6/19/2018 3:00
22887,6/19/2018 4:00
22966,6/19/2018 5:00
23060,6/19/2018 6:00
